Player,Elo_Rating
Jannik Sinner,2189.1
Carlos Alcaraz,2127.1
Novak Djokovic,1990.2
Alexander Zverev,1887.6
Felix Auger-Aliassime,1871.0
Taylor Fritz,1864.1
Jack Draper,1856.0
Alex de Minaur,1848.0
Daniil Medvedev,1805.0
Lorenzo Musetti,1796.1
Alexander Bublik,1792.5
Ben Shelton,1785.2
Roger Federer,1784.7
Tommy Paul,1783.0
Arthur Fils,1774.6
Rafael Nadal,1772.2
Casper Ruud,1767.2
Learner Tien,1765.5
Grigor Dimitrov,1765.3
Jiri Lehecka,1758.6
Alejandro Davidovich Fokina,1753.6
Joao Fonseca,1749.5
Matteo Berrettini,1741.7
Nick Kyrgios,1741.1
Hubert Hurkacz,1737.8
Holger Rune,1728.6
Cameron Norrie,1723.3
Valentin Vacherot,1721.6
Karen Khachanov,1714.7
Jenson Brooksby,1710.1
Ugo Humbert,1709.4
Flavio Cobolli,1707.4
Jakub Mensik,1703.8
Francisco Cerundolo,1701.0
Andrey Rublev,1691.6
Sebastian Korda,1691.5
Arthur Rinderknech,1690.1
Jaume Munar,1685.0
Gabriel Diallo,1674.8
Corentin Moutet,1673.0
Thanasi Kokkinakis,1672.5
Milos Raonic,1671.3
Zizou Bergs,1661.2
Yannick Hanfmann,1656.9
Denis Shapovalov,1654.1
Tallon Griekspoor,1653.9
Stefanos Tsitsipas,1646.7
Marton Fucsovics,1640.1
Brandon Nakashima,1632.3
Frances Tiafoe,1632.3
Fabian Marozsan,1631.0
Adrian Mannarino,1627.3
Lorenzo Sonego,1627.1
Alexei Popyrin,1625.3
Alex Molcan,1621.2
Kei Nishikori,1620.5
Alejandro Tabilo,1618.3
Roberto Bautista Agut,1618.3
Tomas Machac,1618.2
Tomas Martin Etcheverry,1611.7
Jan-Lennard Struff,1609.2
Nuno Borges,1607.1
Hamad Medjedovic,1603.8
Benjamin Bonzi,1601.4
Jordan Thompson,1600.5
Gael Monfils,1600.4
Kamil Majchrzak,1600.3
Jesper de Jong,1598.0
Marin Cilic,1596.8
Arthur Cazaux,1594.1
Daniel Altmaier,1592.0
Giovanni Mpetshi Perricard,1590.8
Yibing Wu,1589.1
Alexandre Muller,1586.8
Reilly Opelka,1585.8
Matteo Arnaldi,1579.3
Marcelo Arevalo,1578.1
Marcos Giron,1577.4
Alex Michelsen,1577.0
Botic van de Zandschulp,1576.6
Emil Ruusuvuori,1576.6
Pablo Carreno Busta,1576.2
Michael Mmoh,1575.0
Daniel Evans,1574.7
Dominik Koepfer,1574.3
Ricardas Berankis,1569.9
Yosuke Watanuki,1567.7
Luciano Darderi,1567.4
Miomir Kecmanovic,1567.1
Francisco Comesana,1566.7
Altug Celikbilek,1566.3
Moez Echargui,1565.8
Darian King,1565.5
Alexander Shevchenko,1565.3
Valentin Royer,1564.5
Henrique Rocha,1564.1
Ignacio Buse,1563.0
Zsombor Piros,1560.1
Cristian Garin,1558.4
Raphael Collignon,1555.9
